,ticker,weight,weight_scaled,date
150,GAS,0.0,0.0,2010-02-01
151,GD,0.0,0.0,2010-02-01
152,GE,0.0,0.0,2010-02-01
153,GENZ,0.0,0.0,2010-02-01
154,GILD,0.0,0.0,2010-02-01
155,GLW,0.0,0.0,2010-02-01
156,GME,0.0,0.0,2010-02-01
157,GNW,0.0,0.0,2010-02-01
158,GPC,0.0,0.0,2010-02-01
159,GPS,0.0,0.0,2010-02-01
160,GR,0.0,0.0,2010-02-01
161,GS,0.0,0.0,2010-02-01
162,GT,0.0,0.0,2010-02-01
163,GWW,0.0,0.0,2010-02-01
164,HAL,0.0,0.0,2010-02-01
165,HAR,0.0,0.0,2010-02-01
166,HAS,0.0,0.0,2010-02-01
167,HBAN,0.0,0.0,2010-02-01
168,HCBK,0.0,0.0,2010-02-01
169,HCN,0.0,0.0,2010-02-01
170,HCP,0.0,0.0,2010-02-01
171,HD,0.0,0.0,2010-02-01
172,HES,0.0,0.0,2010-02-01
173,HIG,0.0,0.0,2010-02-01
174,HNZ,0.0,0.0,2010-02-01
175,HOG,0.0,0.0,2010-02-01
176,HON,0.0,0.0,2010-02-01
177,HOT,0.0,0.0,2010-02-01
178,HPQ,0.0,0.0,2010-02-01
179,HRB,0.0,0.0,2010-02-01
180,HRL,0.0,0.0,2010-02-01
181,HRS,0.0,0.0,2010-02-01
182,HSP,0.0,0.0,2010-02-01
183,HST,0.0,0.0,2010-02-01
184,HSY,0.0,0.0,2010-02-01
185,HUM,0.0407650563486391,0.040765056348639,2010-02-01
186,IBM,0.0,0.0,2010-02-01
187,ICE,0.0,0.0,2010-02-01
188,IFF,0.0,0.0,2010-02-01
189,IGT,0.0,0.0,2010-02-01
190,INTC,0.0,0.0,2010-02-01
191,IP,0.0,0.0,2010-02-01
192,IPG,0.0,0.0,2010-02-01
193,IRM,0.0,0.0,2010-02-01
194,ITT,0.0,0.0,2010-02-01
195,ITW,0.0,0.0,2010-02-01
196,IVZ,0.0,0.0,2010-02-01
197,JBL,0.0,0.0,2010-02-01
198,JCI,0.0,0.0,2010-02-01
199,JCP,0.0,0.0,2010-02-01
200,JDSU,0.0,0.0,2010-02-01
201,JEC,0.0,0.0,2010-02-01
202,JNJ,0.0,0.0,2010-02-01
203,JNPR,0.0,0.0,2010-02-01
204,JPM,0.0,0.0,2010-02-01
205,JWN,0.0,0.0,2010-02-01
206,K,0.0,0.0,2010-02-01
207,KEY,0.0,0.0,2010-02-01
